symbol,name,country,subsector,theme
BDC,Belden Inc,USA,Network Cabling,Fiber Optics
AVGO,Broadcom Inc,USA,Semiconductors,Fiber Optics
CRDO,Credo Technology Group,USA,Optical Networking,Fiber Optics
SOTL.NS,Sterlite Technologies Ltd,India,Optical Fiber Cable,Fiber Optics
MRVL,Marvell Technology Inc,USA,Semiconductors,Fiber Optics
CLFD,Clearfield Inc,USA,Optical Fiber,Fiber Optics
EXTR,Extreme Networks Inc,USA,Networking Equipment,Fiber Optics
BE,Bloom Energy Corporation,USA,Fuel Cells & Clean Energy,Power Energy
CAT,Caterpillar Inc,USA,Industrial Machinery,Power Energy
CVX,Chevron Corporation,USA,Integrated Oil & Gas,Power Energy
XOM,Exxon Mobil Corporation,USA,Integrated Oil & Gas,Power Energy
FLNC,Fluence Energy Inc,USA,Energy Storage,Power Energy
HUBB,Hubbell Inc,USA,Electrical Equipment,Power Energy
NVT,nVent Electric plc,USA,Electrical Equipment,Power Energy
POWL,Powell Industries Inc,USA,Electrical Equipment,Power Energy
PWR,Quanta Services Inc,USA,Energy Infrastructure Services,Power Energy
D,Dominion Energy Inc,USA,Electric Utilities,Power Energy
EME,EMCOR Group Inc,USA,Electrical Contractors,Power Energy
ETR,Entergy Corporation,USA,Electric Utilities,Power Energy
EOSE,Eos Energy Enterprises Inc,USA,Energy Storage,Power Energy
GEV,GE Vernova Inc,USA,Power Generation,Power Energy
J,Jacobs Solutions Inc,USA,Engineering Services,Power Energy
NEE,NextEra Energy Inc,USA,Electric Utilities,Power Energy
WMB,Williams Companies Inc,USA,Natural Gas Pipelines,Power Energy
BIPC,Brookfield Infrastructure Corp,USA,Infrastructure,Power Energy
CEG,Constellation Energy Corporation,USA,Nuclear & Clean Energy,Power Energy
ET,Energy Transfer LP,USA,Natural Gas Pipelines,Power Energy
KMI,Kinder Morgan Inc,USA,Natural Gas Pipelines,Power Energy
MOD,Modine Manufacturing Co,USA,Thermal Management,Power Energy
TT,Trane Technologies plc,USA,HVAC & Climate Control,Power Energy
ETN,Eaton Corporation plc,USA,Electrical Equipment,Power Energy
ACM,AECOM,USA,Engineering Services,Power Energy
VST,Vistra Corp,USA,Power Generation,Power Energy
CCJ,Cameco Corporation,Canada,Nuclear Uranium,Power Energy
UUUU,Energy Fuels Inc,USA,Nuclear Uranium,Power Energy
XLE,Energy Select Sector SPDR ETF,USA,Energy ETF,Power Energy
ABB,ABB Ltd,Switzerland,Power & Automation,Power Energy
VRT,Vertiv Holdings Co,USA,Data Center Infrastructure,Power Energy
EQT,EQT Corporation,USA,Natural Gas E&P,Power Energy
CORZ,Core Scientific Inc,USA,AI Power convert,BTC Miners
BTDR,Bitdeer Technologies Group,USA,AI Power convert,BTC Miners
CLSK,CleanSpark Inc,USA,AI Power convert,BTC Miners
RIOT,Riot Platforms Inc,USA,AI Power convert,BTC Miners
MARA,MARA Holdings Inc,USA,AI Power convert,BTC Miners
CIFR,Cipher Mining Inc,USA,AI Power convert,BTC Miners
IREN,IREN Ltd,Australia,AI Power convert,BTC Miners
HUT,Hut 8 Corp,Canada,AI Power convert,BTC Miners
BITF,Bitfarms Ltd,Canada,AI Power convert,BTC Miners
COPX,Global X Copper Miners ETF,USA,Copper,Commodities
BHP,BHP Group Ltd,Australia,Copper,Commodities
TECK,Teck Resources Ltd,Canada,Copper,Commodities
SOUHY,South32 Ltd,Australia,Pick Shovel,Commodities
6301.T,Komatsu Ltd,Japan,Pick Shovel,Commodities
CAT,Caterpillar Inc,USA,Pick Shovel,Commodities
IMD.AX,Imdex Limited,Australia,Pick Shovel,Commodities
PRN.AX,Perenti Limited,Australia,Pick Shovel,Commodities
OUKPY,Metso Oyj,Finland,Pick Shovel,Commodities
WEGRY,Weir Group plc,UK,Pick Shovel,Commodities
FLS.CO,FLSmidth & Co A/S,Denmark,Pick Shovel,Commodities
EPOKY,Epiroc AB,Sweden,Pick Shovel,Commodities
SDVKY,Sandvik AB,Sweden,Pick Shovel,Commodities
FLR,Fluor Corporation,USA,Pick Shovel,Commodities
GLD,SPDR Gold Shares ETF,USA,Gold Metal ETF,Commodities
SLV,iShares Silver Trust ETF,USA,Silver Metal ETF,Commodities
GDX,VanEck Gold Miners ETF,USA,Gold Miners ETF,Commodities
SIL,Global X Silver Miners ETF,USA,Silver Miners ETF,Commodities
ROBO,ROBO Global Robotics & Automation Index ETF,USA,Robotics & Automation ETF,Other
EWZ,iShares MSCI Brazil ETF,USA,Country ETF - Brazil,Other
XLB,Materials Select Sector SPDR ETF,USA,Sector ETF - Materials,Other
XLI,Industrial Select Sector SPDR ETF,USA,Sector ETF - Industrials,Other
XLP,Consumer Staples Select Sector SPDR ETF,USA,Sector ETF - Staples,Other
VOO,Vanguard S&P 500 ETF,USA,Broad Market ETF,Other
IWM,iShares Russell 2000 ETF,USA,Small Cap ETF,Other
EFA,iShares MSCI EAFE ETF,USA,International Developed ETF,Other
EEM,iShares MSCI Emerging Markets ETF,USA,Emerging Markets ETF,Other
